Total_Relationship_Count,Credit_Limit,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio
5,12691.0,1,3,777,11914.0,1144,42,0.061
6,8256.0,1,2,864,7392.0,1291,33,0.105
4,3418.0,1,0,0,3418.0,1887,20,0.0
3,3313.0,4,1,2517,796.0,1171,20,0.76
5,4716.0,1,0,0,4716.0,816,28,0.0
3,4010.0,1,2,1247,2763.0,1088,24,0.311
6,34516.0,1,3,2264,32252.0,1330,31,0.066
2,29081.0,2,2,1396,27685.0,1538,36,0.048
5,22352.0,2,0,2517,19835.0,1350,24,0.113
6,11656.0,3,3,1677,9979.0,1441,32,0.144
5,6748.0,3,2,1467,5281.0,1201,42,0.217
6,9095.0,2,3,1587,7508.0,1314,26,0.174
3,11751.0,6,0,0,11751.0,1539,17,0.0
5,8547.0,1,3,1666,6881.0,1311,33,0.195
5,2436.0,2,2,680,1756.0,1570,29,0.279
5,4234.0,1,2,972,3262.0,1348,27,0.23
6,30367.0,2,3,2362,28005.0,1671,27,0.078
4,13535.0,4,1,1291,12244.0,1028,21,0.095
2,3193.0,2,3,2517,676.0,1336,30,0.788
6,14470.0,1,2,1157,13313.0,1207,21,0.08
5,20979.0,2,0,1800,19179.0,1178,27,0.086
2,1438.3,3,3,0,1438.3,692,16,0.0
4,4470.0,2,1,680,3790.0,931,18,0.152
3,2492.0,3,2,1560,932.0,1126,23,0.626
4,12217.0,2,3,0,12217.0,1110,21,0.0
6,7768.0,1,2,1669,6099.0,1051,22,0.215
4,14784.0,1,2,1374,13410.0,1197,23,0.093
3,10215.0,3,2,1010,9205.0,1904,40,0.099
5,10100.0,2,2,0,10100.0,1052,18,0.0
6,4785.0,0,0,1362,3423.0,1045,38,0.285
3,2753.0,2,3,1811,942.0,1038,25,0.658
2,2451.0,5,1,1690,761.0,1596,26,0.69
4,8923.0,1,2,2517,6406.0,1589,24,0.282
5,2650.0,2,3,1490,1160.0,1411,28,0.562
6,12555.0,2,2,1696,10859.0,1291,24,0.135
4,3520.0,2,1,1914,1606.0,1407,43,0.544
6,3035.0,2,3,2298,737.0,1877,37,0.757
2,15433.0,3,3,0,15433.0,966,22,0.0
3,3672.0,3,2,886,2786.0,1464,28,0.241
5,7882.0,4,3,605,7277.0,704,16,0.077
2,32426.0,2,2,578,31848.0,1109,28,0.018
4,6205.0,1,0,2204,4001.0,1347,28,0.355
3,17304.0,2,3,2517,14787.0,1756,33,0.145
5,3906.0,2,1,0,3906.0,1756,32,0.0
2,9830.0,3,3,2055,7775.0,1042,23,0.209
3,34516.0,2,3,0,34516.0,1444,28,0.0
6,2283.0,2,0,1430,853.0,1741,27,0.626
3,2548.0,2,2,2020,528.0,1719,27,0.793
4,19458.0,3,3,1435,18023.0,1217,27,0.074
5,4745.0,1,1,1227,3518.0,1140,40,0.259
6,2622.0,3,2,1549,1073.0,1878,30,0.591
2,1438.3,3,1,808,630.3,705,19,0.562
3,3171.0,4,2,2179,992.0,1946,38,0.687
4,19763.0,2,0,2517,17246.0,1414,35,0.127
1,15769.0,3,3,0,15769.0,602,15,0.0
6,3298.0,4,2,2200,1098.0,1052,32,0.667
2,2802.0,2,0,2363,439.0,1295,40,0.843
4,4458.0,2,3,1880,2578.0,1424,29,0.422
4,6273.0,1,2,978,5295.0,1359,25,0.156
4,3336.0,4,3,1753,1583.0,1168,27,0.525
4,3436.0,2,3,2016,1420.0,1097,33,0.587
2,34516.0,4,4,0,34516.0,691,15,0.0
5,5926.0,3,3,1251,4675.0,1316,28,0.211
2,23957.0,4,2,2102,21855.0,1276,26,0.088
4,14734.0,2,2,1634,13100.0,1289,23,0.111
4,34516.0,1,4,1515,33001.0,1293,32,0.044
5,6584.0,3,3,1817,4767.0,1353,35,0.276
6,2084.0,3,3,1468,616.0,1132,28,0.704
2,1687.0,2,2,1107,580.0,1670,17,0.656
6,25300.0,2,2,1330,23970.0,837,15,0.053
3,34516.0,2,3,1763,32753.0,1550,41,0.051
5,2216.0,3,3,1034,1182.0,1540,36,0.467
4,2910.0,2,3,2030,880.0,1256,21,0.698
6,22913.0,2,2,1528,21385.0,1394,35,0.067
3,24312.0,3,3,1932,22380.0,1341,24,0.079
5,5272.0,3,2,1515,3757.0,1289,33,0.287
6,7000.0,4,2,2517,4483.0,1112,23,0.36
4,7038.0,4,2,1801,5237.0,2339,57,0.256
6,2536.0,1,2,1823,713.0,1468,23,0.719
6,28904.0,3,2,1899,27005.0,1334,35,0.066
4,8567.0,4,0,1695,6872.0,1457,41,0.198
6,34516.0,2,2,1533,32983.0,1603,29,0.044
2,2158.0,4,3,0,2158.0,615,12,0.0
2,10133.0,3,3,1417,8716.0,1068,20,0.14
5,34516.0,4,2,1219,33297.0,1590,27,0.035
5,3085.0,3,0,1910,1175.0,1531,35,0.619
4,19040.0,2,1,2056,16984.0,1212,31,0.108
5,4026.0,2,3,0,4026.0,1237,32,0.0
4,12756.0,3,1,837,11919.0,1413,14,0.066
5,5266.0,3,3,0,5266.0,1516,29,0.0
3,9930.0,2,2,0,9930.0,1276,21,0.0
4,31302.0,3,0,1953,29349.0,1564,35,0.062
4,6576.0,4,3,0,6576.0,1465,34,0.0
5,2664.0,4,1,2037,627.0,1286,29,0.765
5,2535.0,1,2,2440,95.0,1312,20,0.963
6,1709.0,4,3,895,814.0,1673,32,0.524
5,3454.0,4,2,1200,2254.0,1313,30,0.347
5,3789.0,3,2,1706,2083.0,1609,42,0.45
3,9689.0,2,0,2250,7439.0,1158,19,0.232
2,5449.0,3,3,1628,3821.0,836,18,0.299
4,23032.0,4,0,1960,21072.0,1289,22,0.085
5,34516.0,3,3,2053,32463.0,1487,26,0.059
6,2940.0,2,2,1264,1676.0,1259,33,0.43
3,3031.0,3,3,1879,1152.0,1298,15,0.62
3,1862.0,3,0,0,1862.0,1226,34,0.0
2,8358.0,3,3,926,7432.0,1566,37,0.111
6,34516.0,1,2,931,33585.0,1022,21,0.027
5,14450.0,2,3,2440,12010.0,1235,30,0.169
6,1438.3,0,0,0,1438.3,1951,44,0.0
6,33791.0,3,2,1960,31831.0,1047,31,0.058
4,8466.0,3,0,1886,6580.0,1342,32,0.223
5,15088.0,3,3,865,14223.0,1107,21,0.057
5,3263.0,1,2,1674,1589.0,1251,35,0.513
2,1494.0,2,2,706,788.0,1305,24,0.473
6,13551.0,1,0,1294,12257.0,1388,37,0.095
6,18886.0,2,2,895,17991.0,1235,18,0.047
3,11976.0,2,0,1273,10703.0,2089,36,0.106
4,9964.0,1,4,1559,8405.0,1626,25,0.156
4,24159.0,6,3,1196,22963.0,1111,24,0.05
